Comp_date  Comp_time	Event	Pico_time[ms]	ADC_value[0-65535]	SiPM[mV]	Temp[deg]	Pres[Pa]	Deadtime[ms]
2021-01-01 00:00:24	102	15601	26422	26422000	25.47	75026.24	0
2021-01-01 00:00:24	103	15607	27318	27318000	25.47	75026.24	0
2021-01-01 00:00:24	104	15661	25990	25990000	25.47	75026.12	0
2021-01-01 00:00:24	105	15736	26710	26710000	25.47	75026.12	0
2021-01-01 00:00:25	106	16338	25846	25846000	25.47	75026.28	0
2021-01-01 00:00:25	107	16379	26086	26086000	25.47	75026.28	0
2021-01-01 00:00:25	108	16617	25382	25382000	25.47	75026.28	0
2021-01-01 00:00:25	109	16648	26150	26150000	25.47	75026.28	0
2021-01-01 00:00:25	110	16695	26934	26934000	25.47	75026.28	0
2021-01-01 00:00:25	111	16715	26310	26310000	25.47	75026.28	0
2021-01-01 00:00:25	112	16912	26182	26182000	25.47	75026.61	0
2021-01-01 00:00:25	113	16913	25334	25334000	25.47	75026.61	0
2021-01-01 00:00:26	114	17080	25254	25254000	25.47	75026.61	0
2021-01-01 00:00:26	115	17095	27414	27414000	25.47	75026.61	0
2021-01-01 00:00:26	116	17124	25110	25110000	25.47	75026.61	0
2021-01-01 00:00:26	117	17403	26166	26166000	25.47	75026.3	0
2021-01-01 00:00:26	118	17429	26694	26694000	25.47	75026.3	0
2021-01-01 00:00:26	119	17435	26694	26694000	25.47	75026.3	0
2021-01-01 00:00:26	120	17917	25302	25302000	25.47	75026.51	0
2021-01-01 00:00:26	121	18002	26838	26838000	25.47	75026.51	0
2021-01-01 00:00:27	122	18062	27174	27174000	25.47	75026.51	0
2021-01-01 00:00:27	123	18749	27318	27318000	25.47	75026.8	0
2021-01-01 00:00:27	124	18756	26630	26630000	25.47	75026.8	0
2021-01-01 00:00:27	125	18972	26806	26806000	25.47	75026.45	0
2021-01-01 00:00:27	126	18999	25638	25638000	25.47	75026.45	0
2021-01-01 00:00:28	127	19279	26966	26966000	25.47	75025.95	0
2021-01-01 00:00:28	128	19283	25142	25142000	25.47	75025.95	0
2021-01-01 00:00:28	129	19400	25670	25670000	25.47	75025.95	0
2021-01-01 00:00:29	130	20247	26550	26550000	25.47	75026.47	0
2021-01-01 00:00:29	131	20418	28727	28727000	25.47	75026.47	0
2021-01-01 00:00:29	132	20427	25878	25878000	25.47	75026.45	0
2021-01-01 00:00:30	133	21177	30727	30727000	25.47	75025.24	0
2021-01-01 00:00:30	134	21335	26246	26246000	25.47	75025.24	0
2021-01-01 00:00:30	135	21541	26150	26150000	25.48	75025.06	0
2021-01-01 00:00:30	136	21593	26230	26230000	25.48	75025.06	0
2021-01-01 00:00:30	137	21977	26678	26678000	25.48	75025.51	0
2021-01-01 00:00:30	138	21986	28614	28614000	25.48	75025.51	0
2021-01-01 00:00:31	139	22035	25510	25510000	25.48	75025.51	0
2021-01-01 00:00:31	140	22096	25222	25222000	25.48	75025.51	0
2021-01-01 00:00:31	141	22101	29351	29351000	25.48	75025.51	0
2021-01-01 00:00:31	142	22130	26534	26534000	25.48	75025.51	0
2021-01-01 00:00:31	143	22232	25350	25350000	25.48	75025.51	0
2021-01-01 00:00:31	144	22447	29383	29383000	25.48	75025.83	0
2021-01-01 00:00:31	145	22463	28695	28695000	25.48	75025.83	0
2021-01-01 00:00:31	146	22674	26374	26374000	25.48	75025.49	0
2021-01-01 00:00:31	147	22677	27702	27702000	25.48	75025.49	0
2021-01-01 00:00:31	148	22796	25110	25110000	25.48	75025.49	0
2021-01-01 00:00:31	149	22800	27478	27478000	25.48	75025.49	0
2021-01-01 00:00:32	150	23378	25414	25414000	25.48	75025.3	0
2021-01-01 00:00:32	151	23389	25430	25430000	25.48	75025.3	0
2021-01-01 00:00:32	152	23392	27990	27990000	25.48	75025.3	0
2021-01-01 00:00:32	153	23419	26534	26534000	25.48	75025.3	0
2021-01-01 00:00:32	154	23480	27142	27142000	25.48	75025.3	0
2021-01-01 00:00:32	155	23481	25526	25526000	25.48	75025.3	0
2021-01-01 00:00:32	156	23622	25270	25270000	25.48	75025.8	0
2021-01-01 00:00:32	157	23631	27142	27142000	25.48	75025.8	0
2021-01-01 00:00:32	158	23634	28711	28711000	25.48	75025.8	0
2021-01-01 00:00:32	159	24022	27350	27350000	25.48	75025.98	0
2021-01-01 00:00:32	160	24023	25126	25126000	25.48	75025.98	0
2021-01-01 00:00:33	161	24100	25366	25366000	25.48	75025.98	0
2021-01-01 00:00:33	162	24714	26902	26902000	25.49	75026.76	0
2021-01-01 00:00:33	163	24720	26278	26278000	25.49	75026.76	0
2021-01-01 00:00:33	164	24728	27174	27174000	25.49	75026.76	0
2021-01-01 00:00:33	165	24731	27478	27478000	25.49	75026.76	0
2021-01-01 00:00:33	166	24748	25046	25046000	25.49	75026.76	0
2021-01-01 00:00:33	167	24772	25318	25318000	25.49	75026.76	0
2021-01-01 00:00:34	168	25060	28486	28486000	25.48	75026.3	0
2021-01-01 00:00:34	169	25171	25270	25270000	25.48	75026.3	0
2021-01-01 00:00:34	170	25370	26486	26486000	25.49	75025.93	0
2021-01-01 00:00:34	171	25435	25990	25990000	25.49	75025.93	0
2021-01-01 00:00:34	172	25443	25910	25910000	25.49	75025.93	0
2021-01-01 00:00:35	173	26222	26150	26150000	25.49	75025.91	0
2021-01-01 00:00:35	174	26271	26774	26774000	25.49	75025.91	0
2021-01-01 00:00:35	175	26438	26726	26726000	25.49	75025.91	0
2021-01-01 00:00:35	176	26535	26502	26502000	25.49	75025.91	0
2021-01-01 00:00:36	177	27149	27702	27702000	25.49	75026.07	0
2021-01-01 00:00:36	178	27249	26710	26710000	25.49	75026.36	0
2021-01-01 00:00:36	179	27849	26630	26630000	25.49	75027.02	0
2021-01-01 00:00:36	180	27981	25078	25078000	25.49	75027.02	0
2021-01-01 00:00:37	181	28183	25302	25302000	25.49	75027.5	0
2021-01-01 00:00:37	182	28218	26934	26934000	25.49	75027.5	0
2021-01-01 00:00:37	183	28269	26422	26422000	25.49	75027.5	0
2021-01-01 00:00:37	184	28273	28326	28326000	25.49	75027.5	0
2021-01-01 00:00:37	185	28351	25366	25366000	25.49	75027.5	0
2021-01-01 00:00:37	186	28478	25030	25030000	25.49	75026.86	0
2021-01-01 00:00:37	187	28479	27622	27622000	25.49	75026.86	0
2021-01-01 00:00:37	188	28705	25478	25478000	25.49	75026.84	0
2021-01-01 00:00:37	189	28754	25654	25654000	25.49	75026.84	0
2021-01-01 00:00:37	190	28757	28086	28086000	25.49	75026.84	0
2021-01-01 00:00:37	191	28762	27478	27478000	25.49	75026.84	0
2021-01-01 00:00:38	192	29348	27990	27990000	25.49	75027.13	0
2021-01-01 00:00:38	193	29350	25350	25350000	25.49	75027.13	0
2021-01-01 00:00:38	194	29356	26262	26262000	25.49	75027.13	0
2021-01-01 00:00:38	195	29360	25222	25222000	25.49	75027.13	0
2021-01-01 00:00:38	196	29548	25558	25558000	25.5	75026.95	0
2021-01-01 00:00:39	197	30147	25270	25270000	25.49	75026.96	0
2021-01-01 00:00:39	198	30708	28390	28390000	25.49	75026.13	0
2021-01-01 00:00:39	199	30783	27862	27862000	25.49	75026.13	0
2021-01-01 00:00:39	200	30784	26278	26278000	25.49	75026.13	0
2021-01-01 00:00:39	201	30794	28246	28246000	25.49	75026.13	0
2021-01-01 00:00:39	202	30809	25830	25830000	25.49	75026.13	0
2021-01-01 00:00:39	203	30929	27766	27766000	25.49	75026.63	0
2021-01-01 00:00:39	204	30997	26518	26518000	25.49	75026.63	0
2021-01-01 00:00:40	205	31201	27686	27686000	25.49	75026.63	0
2021-01-01 00:00:40	206	31800	35896	35896000	25.5	75025.62	0
2021-01-01 00:00:41	207	32332	25382	25382000	25.49	75025.8	0
2021-01-01 00:00:41	208	32678	25110	25110000	25.49	75025.52	0
2021-01-01 00:00:41	209	32924	25478	25478000	25.49	75025.68	0
2021-01-01 00:00:41	210	32971	27414	27414000	25.49	75025.68	0
2021-01-01 00:00:42	211	33383	25126	25126000	25.49	75025.97	0
2021-01-01 00:00:42	212	33594	25494	25494000	25.49	75025.84	0
2021-01-01 00:00:42	213	33918	25670	25670000	25.49	75026.67	0
2021-01-01 00:00:43	214	34078	25670	25670000	25.49	75026.67	0
2021-01-01 00:00:43	215	34210	25286	25286000	25.49	75026.51	0
2021-01-01 00:00:43	216	34220	25318	25318000	25.49	75026.51	0
2021-01-01 00:00:43	217	34339	26070	26070000	25.49	75026.51	0
2021-01-01 00:00:43	218	34373	25318	25318000	25.49	75026.51	0
2021-01-01 00:00:43	219	34738	26454	26454000	25.49	75026.67	0
2021-01-01 00:00:43	220	34757	32647	32647000	25.49	75026.67	0
2021-01-01 00:00:43	221	34762	26726	26726000	25.49	75026.67	0
2021-01-01 00:00:43	222	34765	27702	27702000	25.49	75026.67	0
2021-01-01 00:00:43	223	34903	27286	27286000	25.49	75026.03	0
2021-01-01 00:00:44	224	35044	26342	26342000	25.49	75026.03	0
2021-01-01 00:00:44	225	35477	26566	26566000	25.49	75026.74	0
2021-01-01 00:00:44	226	35736	25894	25894000	25.49	75027.09	0
2021-01-01 00:00:44	227	35745	25574	25574000	25.49	75027.09	0
2021-01-01 00:00:45	228	36169	26118	26118000	25.49	75027.25	0
2021-01-01 00:00:45	229	36416	30135	30135000	25.49	75027.25	0
2021-01-01 00:00:45	230	36420	28582	28582000	25.49	75027.25	0
2021-01-01 00:00:45	231	36438	26374	26374000	25.48	75027.3	0
2021-01-01 00:00:45	232	36447	27318	27318000	25.48	75027.3	0
2021-01-01 00:00:45	233	36489	28422	28422000	25.48	75027.3	0
2021-01-01 00:00:45	234	36807	25030	25030000	25.48	75027.3	0
2021-01-01 00:00:46	235	37075	26470	26470000	25.48	75027.3	0
2021-01-01 00:00:46	236	37126	27718	27718000	25.48	75026.97	0
2021-01-01 00:00:46	237	37146	25702	25702000	25.48	75026.97	0
2021-01-01 00:00:46	238	37150	28358	28358000	25.48	75026.97	0
2021-01-01 00:00:46	239	37163	26550	26550000	25.48	75026.97	0
